article;Após a leitura completa, o artigo deve ser excluído? ;Qual a afiliação dos autores do trabalho? ;Tipo de SoS;Quais as dominio de aplicação?;Quais as contribuições reportadas nas pesquisas? e.g., tecnica, modelo, notação, ferramenta, etc;Quais metodologias são empregadas para a definição do comportamento emergente?;Qual o nível de comportamento emergente? (Meier, 1998);Como o comportamento emergente é descrito ou especificado? e.g., modelo conceitual, linguagem formal, etc ;Observações adicionais
Modeling Emergent Behavior for Systems-of-Systems;;The Boeing Company;Virtual;Nenhum, não é dado exemplos de SoS, pois o artigo foca em apenas apresentar a questão de comportamento emergente;Apresentar comportamento emergente em Sistemas de Sistemas e propor métodos, técnicas para lidar com a questão.;"Neural  networks may be helpful in modeling the emergent behavior since the emergent behavior is complex and sometimes self-initiated.  Neural networks can provide an on-going learning capability to capture the initiating mechanisms of these emergent behaviors.  It is suggested here that we strongly consider the integration of agent-based modeling and neural network methodology with SysML.

Although there are many attempted emergent behavior modeling efforts in biological and human systems, to the authors’ knowledge there is no significant emergent behavior modeling efforts for system of systems architectures.

An accurate and complete system architecture model for a SoS is required to measure the existence, type, and level of emergent behavior of the SoS. 

The Principles of Emergence (derived from the existing literature discussing on this subject):

- Condition of Emergence: Emergence will not occur for a single independent system.  An avalanche condition (Goldstein 1999), or a cri";Strong emergence;"Não descreve nem específica, apenas lança espectativas:

Predicting the emergent behavior for a to-be-designed SoS will be a formidable challenge.  Emergent behaviors will have to be predicted and incorporated into architecture models.  Are we able to predict all the emergent behaviors?  Most likely our predictions will be probabilistic.   Agent-based modeling is expected to be used to examine emergent behavior as structure and pattern develop from the micro-level interactions.  Agent-based modeling focuses on how local interactions among agents serve to create larger and perhaps global structures and patterns of behavior. Agent-based modeling techniques need to be incorporated into SysML architecture models.  Many IF-and-THENs will be defined for the bondage situations between component systems.   In agent-based computer simulations, nearly random actions often result in highly structured emergent behavior.";"Esse artigo não propõe uma abordagem específica nem dá exemplos, ele apenas lança quais metodologias são necessários para se desenvolver arquiteturas de SoS. 

Unplanned, unexpected behavior is expected to emerge between component systems. The indirect and hidden influences of SoS are not present in single systems, and are the primary mechanism behind emergent behavior

####
Occasionally, a system with a high level of complexity, such as a very large number of interconnections and rules, that  also a moderate to high level of self-organization, self-modification, or such, will suddenly start to exhibit behaviors that were totally unpredicted by those people who designed and built the system. 
Complex systems often behave in unexpected ways that are not easily predictable from the behavior of their components due to emergent behavior -> Strong emergence
####"
2.2.2 Maintaining Emergence in Systems of Systems Integration: a Contractual Approach using SysML;;"Newcastle University, United Kingdom
Newcastle University, United Kingdom
Newcastle University, United Kingdom
Bang & Olufsen, Denmark";Collaborative;Validação de integração entre sistemas constituintes de um sistema de sistemas.;We have proposed a model-based approach to assist in the integration of new or modified constituent systems into an SoS. We leverage SysML and formal methods to enrich interface specifications with contracts that describe the expected and permitted behavior of constituents. Translation to the formal CML language enables the verification of emergent properties.;Diagramas de máquinas de estado, descrevendo os comportamentos assumidos pela integração das partes do sistema.;Spooky emergence;Linguagem formal e diagrama de StateChart.;
A Formal Approach to Autonomic Systems Programming: The SCEL Language;;"IMT Institute for Advanced Studies Lucca, Lucca, Italy
Università degli Studi di Firenze, Firenze, Italy
Università degli Studi di Firenze, Firenze, Italy
IMT Institute for Advanced Studies Lucca, Lucca, Italy";Virtual;Sistema de Sistemas;Lingugagem SCEL.;;Simple emergence;Behaviors describe how computations may progress and are modeled as processes executing actions, in the style of process calculi.;
Quantitative Reliability Assessment for Mobile Cooperative Systems;;Software Engineering (Informatik 11 )University of Erlangen-Nuremberg Erlangen Germany;Acknowledged;Sistemas multiagentes.;This article proposed a systematic approach to statistical testing for cooperative systems consisting of autonomous mobile agents. Based on Coloured Petri Net models of cooperative behaviour, it analysed different sources of randomness and defined an automatic test case generation procedure to derive independent cooperative scenarios according to a given operational profile.;Redes coloridas Petri.;Spooky emergence;Modelo conceitual de rede petri.;
Computational Intelligence Based Complex Adaptive System-of-System Architecture Evolution Strategy;;Missouri University of Science and Technology Rolla USA;Acknowledged;Modelagem e previsão de comportamentos emergentes no crescimento de um sistema de sistemas do tipo conhecido.;A negotiation model is proposed to help the SoS manger adapt his strategy based on system owners’ behavior.;;Strong emergence;Linguagem formal.;
Formally Describing Self-organizing Architectures for Systems-of-Systems on the Internet-of-Things;;IRISA - UMR CNRS / Univ. Bretagne Sud, France;Acknowledged;Internet of Things;Criação de uma abordagem para sistema de sistemas auto-organizado, de forma que o sistema consiga produzir seus comportamentos emergentes.;Linguagem formal.;Strong emergence;A behavior that stems from the interactions among constituents, but that cannot be predicted from behaviors of the constituents themselves.;
Federated Cloud computing as System of Systems;;"Colorado State University, Fulcrum Co., United States of America
Colorado State University, Fulcrum Co., United States of America
Colorado State University, Fulcrum Co., United States of America
Colorado State University, Fulcrum Co., United States of America";Acknowledged;Cloud Computing.;We suggest a physical architecture that simulates some of the main SoS emergent behavior to diminish unwanted outcomes while encouraging desirable results.;"Simulation - SoS Cost Impact
Simulation - SoS Compute Utilization Impact: Another cloud-federation emergent behavior handles the CSP resource utilization.";Weak emergence;An implementation of the Cloud Federation will introduce new operational issues rooted in the network communications between data centers operated by different Cloud Service Providers. One of the emergent behaviors will be massive data transmission amongst distributed infrastructures driven by affinity to users or cost of energy in certain regions for compute processing. There are a few insightful studies that lay the groundwork for such emergent behavior.;
Software architecture of self-organizing systems-of-systems for the Internet-of-Things with SosADL;;IRISA - UMR CNRS / Univ. Bretagne Sud, France;Collaborative;Internet of Things.;This paper presented the notion of self-organization, introduced the theory of self-organization and then refined this theory for SoS. In particular, it described how SosADL (based on the ?-Calculus enhanced with concurrent constraints, the ?- Calculus for SoS) enables the formal description of self- organizing SoS architectures in the IoT.;Linguagem formal.;Spooky emergence;Emergent behavior as a major characteristic.;
On the Emergent Behavior Oxymoron of System-of-Systems Architecture Description;;IRISA – UMR CNRS 6074, Univ. Bretagne Sud, Vannes, France;Not defined;Arquitetura de sistema de sistemas e modelagem do comportamento emergente.;Proposta da Linguagem de Descrição de Arquitetura. Um framework de desenvolvimento.;O autor se baseia nas referências de Maier.;not defined;Explicitly, Maier states that “The SoS performs functions and carries out purposes that do not reside in any constituent system. These behaviors are emergent properties of the entire SoS and cannot be localized to any constituent system. The principal purposes of the SoS are fulfilled by these behaviors;
Supporting design via the System Operational Dependency Analysis methodology;;"School of Aeronautics and AstronauticsPurdue UniversityWest Lafayette USA
School of Aeronautics and AstronauticsPurdue UniversityWest Lafayette USA";Not defined;O domínio de aplicação é me sistema de sistemas, visto que com a capacidade de uma modelagem estocástica ou determinística, é possível abordar os comportamentos emergentes. O artigo toma por exemplo de aplicação do modelo SODA uma guerra naval.;We propose a parametric model of the behavior of the system. The model called SODA.;"In systems engineering, the first step required to perform the desired analysis involves determining metrics that describe the features and the behavior of the system. When dealing with complex systems, however, metrics related to individual systems do not directly translate to an assessment of the overall behavior. Many authors recognize the importance of holistic high-level metrics (Rhodes et al. 2009; de Weck et al. 2012)";not defined;"The behavior of most systems designed and developed nowadays cannot always be directly evaluated based only on the behavior of the individual systems or subsystems. 

In this paper, we define complex systems as entities where interactions between the parts have a fundamental impact on the global behavior";
Exogenously Describing Architectural Emergent Behaviors of Systems-of-Systems with SosADL;;Univ. Bretagne Sud Vannes, France;Directed;Reconnaissance SoS based on Unmanned Aerial  Vehicles  (UAVs), a  Flood  Monitoring  and  Emergency Response  SoS;"SosADL -  (i) it is the  first full formal ADL  having  the  expressive  power for describing emergent behavior  in  software-intensive SoS architectures

SosADL - (ii) it  enables  to describe SoS software architectures producing  emergent  behavior abstractly, at  design-time, without knowing which will be the actual concrete systems in the  SoS  at  run-time,  and  then  to identify and  dynamically create  concrete  architectures grounded on  its  constraint solving mechanism

This paper presents the concepts and constructs of a novel Architecture Description Language  (ADL),  named SosADL, for exogenously describing architectural emergent behaviors of software-intensive SoSs

We  have  developed  an  SoS  Architecture  Development Environment,  named  SoS  Architect  Studio [24],  for supporting the architecture-centric  formal  development  of SoSs using SosADL.

a  novel  ADL specially conceived for formally describing the architecture of software-intensive SoSs from the viewpoi";"to architecturally describe an emergent behavior of  an  SoS,  we  will  define  micro-scale  behaviors  that,  by upward causation,  will  form  the  required  macro-scale, emergent  behavior (see [27] for  details  on  how  SosADL supports supervenience for describing emergent behaviors). 

SosADL supports  the  description  of  architectural  emergent  behaviors based on  the  principle of  supervenience. To specify  an emergent  behavior in  an  SoS architecture  description,  we define  micro-scale  behaviors  which  will  determine  the emergent macro-scale behavior.";Simple emergence;"Using the SoS Architecture Description Language  SosADL

using mediator declaration in SoSADL which make possible the emergence of an desired macro-scale bahavior of the SoS

exogenous architecture description completely relies  on mediators  and  not  at  all  on constituent systems (i.e. flockmates).  The  architecture  description  is essentially constituted  by  the  description  of  the mediators, without any need for having specific constituent systems";
System of systems architecture feasibility analysis to support tradespace exploration;;"Department of Systems Engineering, U.S. Military Academy, West Point, NY, 10996
Department of Systems Engineering, Naval Postgraduate School, Monterey, CA, 93940
Department of Systems Engineering, Naval Postgraduate School, Monterey, CA, 93940
Department of Systems Engineering, Naval Postgraduate School, Monterey, CA, 93940
Department of Systems Engineering, Naval Postgraduate School, Monterey, CA, 93940";;Mercados de comércio.;The SoS Architecture Feasibility Assessment Model (SoS-AFAM) assesses the feasibility of the physical communications, process, and organizational architectures of a SoS. The model applies algorithms based on the minimum requirements for viability relevant to all SoS such as connectivity and completeness. We present a case study to demonstrate how the algorithm can greatly prune the SoS tradespace of infeasible SoS design points, which can increase the efficiency of design exploration.;Não há.;not defined;Não é descrito.;
Practical modeling concepts for engineering emergence in systems of systems;;Department of Systems Engineering, Naval Postgraduate School, Monterey, CA, USA;Directed;The domain about the paper is handling with emergence behaviors in System-of-systems using modeling principles.;Uma modelagem na qual, as interações e comportamentos são separados para serem construídos de maneira correta.;Emergence is a product of the interactions among systems.;not defined;Os comportamentos são escritos em diagramas de BPM com percepções do usuário e seus estados, bem como o sistema e seus estados.;
Executable Modeling for System of Systems Architecting: An Artificial Life Framework;;"Proffesor of Engineering Management & Systems Engineering Department, Missouri University of Science & Technology, Rolla, MO, USA
Postdoctoral Research Fellow, Engineering Management & Systems Engineering Department, Missouri University of Science & Technology, Rolla, MO, USA";Not defined;System-of-Systems architecture.;tha aim of this paper is to present Artificial Life approaches as a methodology for understanding behavior of System-of-Systems.;;not defined;O comportamento emergente é descrito formalmente.;
The study of guided emergent behavior in system of systems requirement analysis;;National University of Defense Technology;Directed;ISAAC [13] (Irreducible Semi-Autonomous Adaptive Combat);We propose the computer simulation method to analyze the emergent behaviors for SoSs evolution research. Semi-autonomous Agents are taken as modeling the elements which interact, communicate and cooperate in such an environment where SoSs act.  method which using Semi-autonomous Agent based simulation to detect the emergent behaviors of SoSs.;"Guided Emergence - Guided emergence was coined by Madni [11], meaning is the ability to steer emergent behaviors in desired directions. Enhancing the good emergent behaviors to high level and reducing the bad emergent behavior effects is the core object of Guided emergence

Parallel Executive Experiment (PEE) is used to analyze the guided emergent behaviors of SoSs. There are two main parts in PEE, one is the virtual experiment (VE), the other is real world execution experiment (RE)....

We suppose this mechanism of PEE should create a framework in which emergence can flourish, and an agility to quickly detect and destroy unintended the emergent behaviors.";Simple emergence;Flow chart of guided SoS's capability emergence - showing the feedbacks between virtual experiment (VE) and real world execution experiment (RE). In VE many emergent behaviors burst out in different simulations accompany with the changing parameters and different scenarios. These emergent behaviors could be filtered by the Capability Requirement constraints. The beneficial emergence should be kept and others had to be eliminated. If no desire results can be detected in any simulations, we must change the the structure of SoSs or modify the relationships between elements greatly;
